0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:22 +0900] "GET /Europe/resources/assets/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:22 +0900] "GET /Europe/resources/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:22 +0900] "GET /Europe/resources/ssets/css/plugins.css HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:22 +0900] "GET /Europe/resources/assets/css/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:23 +0900] "GET /Europe/resources/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:23 +0900] "GET /Europe/assets/js/vendor/modernizr-2.8.3-respond-1.4.2.min.js HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:23 +0900] "GET /Europe/resources/assets/css/responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:23 +0900] "GET /Europe/resources/assets/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:23 +0900] "GET /Europe/resources/assets/images/pf1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:23 +0900] "GET /Europe/resources/assets/images/pf2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:23 +0900] "GET /Europe/resources/assets/images/pf3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:23 +0900] "GET /Europe/resources/assets/images/pf4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:23 +0900] "GET /Europe/resources/assets/images/pf5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:23 +0900] "GET /Europe/resources/assets/images/pf6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:23 +0900] "GET /Europe/resources/assets/images/pf7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:23 +0900] "GET /Europe/resources/assets/images/pf8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:23 +0900] "GET /Europe/resources/ssets/css/plugins.css HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:23 +0900] "GET /Europe/assets/js/vendor/modernizr-2.8.3-respond-1.4.2.min.js HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:23 +0900] "GET /Europe/resources/assets/images/loading.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:23 +0900] "GET /Europe/resources/assets/fonts/bootstrapThemesCo-icon.eot?dcpptv HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:23 +0900] "GET /Europe/resources/assets/fonts/opensans-semibold.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:23 +0900] "GET /Europe/resources/assets/fonts/sourcesanspro-bold.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:23 +0900] "GET /Europe/resources/assets/images/counterbg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:23 +0900] "GET /Europe/resources/assets/js/vendor/jquery-1.11.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:23 +0900] "GET /Europe/resources/assets/js/vendor/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:23 +0900] "GET /Europe/resources/assets/js/jquery.magnific-popup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:23 +0900] "GET /Europe/resources/assets/js/jquery.mixitup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:23 +0900] "GET /Europe/resources/assets/js/jquery.easing.1.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:23 +0900] "GET /Europe/resources/assets/js/jquery.masonry.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:24 +0900] "GET /Europe/resources/assets/css/slick/slick.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:24 +0900] "GET /Europe/resources/assets/css/slick/slick.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:24 +0900] "GET /Europe/resources/assets/js/plugins.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:24 +0900] "GET /Europe/resources/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:24 +0900] "GET /Europe/resources/assets/fonts/sourcesanspro-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:45 +0900] "GET /Europe/accommodation.jsp HTTP/1.1" 200 14418
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:46 +0900] "GET /Europe/resources/assets/css/iconfont.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:46 +0900] "GET /Europe/resources/assets/css/slick/slick.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:46 +0900] "GET /Europe/resources/assets/css/slick/slick-theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:46 +0900] "GET /Europe/resources/assets/css/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:46 +0900] "GET /Europe/resources/assets/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:46 +0900] "GET /Europe/resources/assets/css/jquery.fancybox.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:46 +0900] "GET /Europe/resources/assets/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:46 +0900] "GET /Europe/resources/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:46 +0900] "GET /Europe/resources/ssets/css/plugins.css HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:46 +0900] "GET /Europe/resources/assets/css/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:46 +0900] "GET /Europe/resources/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:46 +0900] "GET /Europe/assets/js/vendor/modernizr-2.8.3-respond-1.4.2.min.js HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:46 +0900] "GET /Europe/resources/assets/css/responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:46 +0900] "GET /Europe/resources/assets/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:46 +0900] "GET /Europe/resources/assets/images/airbnb.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:46 +0900] "GET /Europe/resources/assets/images/agoda.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:46 +0900] "GET /Europe/resources/assets/images/hotels.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:46 +0900] "GET /Europe/resources/assets/images/booking.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:46 +0900] "GET /Europe/resources/assets/js/vendor/jquery-1.11.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:46 +0900] "GET /Europe/resources/ssets/css/plugins.css HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:46 +0900] "GET /Europe/assets/js/vendor/modernizr-2.8.3-respond-1.4.2.min.js HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:46 +0900] "GET /Europe/resources/assets/fonts/bootstrapThemesCo-icon.eot?dcpptv HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:46 +0900] "GET /Europe/resources/assets/fonts/opensans-semibold.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:46 +0900] "GET /Europe/resources/assets/fonts/sourcesanspro-bold.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:46 +0900] "GET /Europe/resources/assets/fonts/sourcesanspro-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:46 +0900] "GET /Europe/resources/assets/js/vendor/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:46 +0900] "GET /Europe/resources/assets/images/counterbg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:46 +0900] "GET /Europe/resources/assets/js/jquery.magnific-popup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:46 +0900] "GET /Europe/resources/assets/js/jquery.mixitup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:46 +0900] "GET /Europe/resources/assets/js/jquery.easing.1.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:47 +0900] "GET /Europe/resources/assets/js/jquery.masonry.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:47 +0900] "GET /Europe/resources/assets/css/slick/slick.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:47 +0900] "GET /Europe/resources/assets/css/slick/slick.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:47 +0900] "GET /Europe/resources/assets/js/plugins.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:47 +0900] "GET /Europe/resources/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:55 +0900] "GET /Europe/resources/ssets/css/plugins.css HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:56 +0900] "GET /Europe/assets/js/vendor/modernizr-2.8.3-respond-1.4.2.min.js HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:56 +0900] "GET /Europe/resources/ssets/css/plugins.css HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:29:56 +0900] "GET /Europe/assets/js/vendor/modernizr-2.8.3-respond-1.4.2.min.js HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:30:05 +0900] "GET /Europe/KoreaMain.jsp HTTP/1.1" 200 12682
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:30:05 +0900] "GET /Europe/marine/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:30:05 +0900] "GET /Europe/marine/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:30:05 +0900] "GET /Europe/marine/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:30:05 +0900] "GET /Europe/marine/css/themify-icons.css HTTP/1.1" 304 -
